Country,Year,Crude suicide rates (per 100k population)
Afghanistan,2012,4
Afghanistan,2013,4
Afghanistan,2014,3.9
Armenia,2012,7.4
Armenia,2013,6.4
Armenia,2014,6.3
Azerbaijan,2012,4.4
Azerbaijan,2013,4.3
Azerbaijan,2014,4.2
Bangladesh,2012,3.7
Bangladesh,2013,3.5
Bangladesh,2014,3.5
Bhutan,2012,4.3
Bhutan,2013,4.4
Bhutan,2014,4.4
Brunei,2012,2.1
Brunei,2013,1.8
Brunei,2014,1.8
Cambodia,2012,5.2
Cambodia,2013,5.2
Cambodia,2014,5.1
China,2012,9
China,2013,8.6
China,2014,8.4
Cyprus,2012,5.4
Cyprus,2013,5.7
Cyprus,2014,5.4
Dem. Rep. Korea,2012,9.7
Dem. Rep. Korea,2013,9.9
Dem. Rep. Korea,2014,10
Georgia,2012,9.2
Georgia,2013,9.8
Georgia,2014,10.3
India,2012,14.3
India,2013,13.7
India,2014,12.8
Indonesia,2012,2.5
Indonesia,2013,2.5
Indonesia,2014,2.4
Iran,2012,6.7
Iran,2013,6.6
Iran,2014,6.5
Iraq,2012,4.1
Iraq,2013,4.2
Iraq,2014,4.1
Israel,2012,6.1
Israel,2013,5.2
Israel,2014,5.1
Japan,2012,21.6
Japan,2013,21.4
Japan,2014,20.1
Jordan,2012,1.5
Jordan,2013,1.5
Jordan,2014,1.5
Kazakhstan,2012,27.6
Kazakhstan,2013,26.3
Kazakhstan,2014,24.2
Kuwait,2012,2.4
Kuwait,2013,2.4
Kuwait,2014,2.5
Kyrgyzstan,2012,10.9
Kyrgyzstan,2013,10.5
Kyrgyzstan,2014,10.5
Lao PDR,2012,5.7
Lao PDR,2013,5.7
Lao PDR,2014,5.5
Lebanon,2012,3
Lebanon,2013,3
Lebanon,2014,2.8
Malaysia,2012,4.6
Malaysia,2013,4.4
Malaysia,2014,4.6
Mongolia,2012,21.7
Mongolia,2013,21
Mongolia,2014,20
Myanmar,2012,3.3
Myanmar,2013,3.3
Myanmar,2014,3.2
Nepal,2012,8.9
Nepal,2013,8.7
Nepal,2014,8.5
Oman,2012,5.4
Oman,2013,5.3
Oman,2014,5.1
Pakistan,2012,8.8
Pakistan,2013,8.9
Pakistan,2014,8.9
Philippines,2012,2.4
Philippines,2013,2.4
Philippines,2014,2.3
Qatar,2012,7.4
Qatar,2013,6.7
Qatar,2014,6.3
Korea,2012,30.2
Korea,2013,30.6
Korea,2014,29
Saudi Arabia,2012,6.4
Saudi Arabia,2013,6.5
Saudi Arabia,2014,6.6
Sri Lanka,2012,16.6
Sri Lanka,2013,15.2
Sri Lanka,2014,13.1
Syria,2012,1.6
Syria,2013,1.8
Syria,2014,1.8
Tajikistan,2012,4.1
Tajikistan,2013,4
Tajikistan,2014,4.1
Thailand,2012,7.9
Thailand,2013,7.5
Thailand,2014,7.8
Timor-Leste,2012,3.3
Timor-Leste,2013,3.3
Timor-Leste,2014,3.4
Turkey,2012,2.2
Turkey,2013,2.3
Turkey,2014,2.3
Turkmenistan,2012,7.1
Turkmenistan,2013,7.1
Turkmenistan,2014,6.8
United Arab Emirates,2012,7.9
United Arab Emirates,2013,7.5
United Arab Emirates,2014,7
Uzbekistan,2012,8.9
Uzbekistan,2013,8.9
Uzbekistan,2014,9
Vietnam,2012,7.4
Vietnam,2013,7.5
Vietnam,2014,7.6
Yemen,2012,5.7
Yemen,2013,5.7
Yemen,2014,5.7
